words,coef
넘,0.3871952836671327
행사,0.3878280653152452
좋아하,0.38848130230252714
유지,0.3901348110180218
사용,0.3915935939559988
싹,0.39341221424519335
채우,0.39383630598467867
맘,0.3947036242343058
편하,0.39756135103580403
예정,0.39961259528506576
자주,0.4046046404733713
완전,0.4113037557559965
구성,0.41527095823129334
아이,0.433455079408136
부드럽,0.4409074827104207
빠르,0.44758809245471737
듬뿍,0.4488325588759422
이번,0.4600328342566568
바로,0.4639596168337852
다,0.46463175621569874
늘,0.46552264750387923
걱정,0.47037435388184606
들,0.47127145064378156
시카,0.48914738838411154
끈적이,0.4993080938798274
세일,0.5045590407991658
피,0.5150779782122804
흡수,0.5164860387499004
겨울,0.5393765824938614
수분크림,0.5661317425624239
보습,0.5685683493453481
마음,0.5699561271085419
같이,0.5734255031093931
찾,0.582604813826216
진정,0.5864061796601924
굿,0.59089344938249
자,0.6042594761383636
순,0.6056156134785333
아주,0.6141055241493023
요즘,0.6243371108104042
통째,0.6352986666175616
잘,0.6374150243430687
정착,0.6962485028046591
너무,0.7113348746916224
되,0.713930876130511
정말,0.7307835838428131
확실히,0.7477705799449439
항상,0.7549100233058751
피부,0.7863350975701814
있,0.7909134898058898
아침,0.8379787367534914
짱,0.8740745607177424
강추,0.8768355685209445
최고,0.8812627644459805
꾸준히,0.9045396391347892
순하,0.9538757754705546
없이,1.0402058742256126
만족,1.065183078573818
딱,1.1110999182106274
진짜,1.1374787291194057
